height,weight,label
138,82,fat
152,74,fat
172,43,thin
125,40,fat
117,66,fat
127,53,fat
145,63,fat
190,50,thin
132,86,fat
195,81,normal
174,74,normal
189,59,thin
113,79,fat
142,67,fat
137,44,normal
181,78,normal
185,50,thin
199,50,thin
144,81,fat
152,64,fat
110,72,fat
165,63,normal
200,50,thin
187,84,normal
151,60,fat
138,54,fat
167,61,normal
162,55,normal
127,75,fat
120,70,fat
151,88,fat
177,72,normal
131,61,fat
151,66,fat
123,81,fat
181,84,fat
153,64,fat
173,43,thin
120,50,fat
139,56,fat
199,58,thin
199,52,thin
178,63,normal
160,81,fat
128,87,fat
191,61,thin
114,50,fat
154,89,fat
151,88,fat
135,46,fat
180,45,thin
179,41,thin
167,58,normal
128,62,fat
140,86,fat
178,55,thin
136,48,fat
168,49,thin
175,73,normal
188,52,thin
126,50,fat
171,61,normal
139,79,fat
158,42,thin
118,86,fat
180,85,fat
121,46,fat
197,85,normal
149,50,normal
127,55,fat
175,47,thin
138,78,fat
172,65,normal
151,44,normal
134,88,fat
126,70,fat
191,87,normal
152,74,fat
173,42,thin
180,62,normal
164,85,fat
117,84,fat
152,62,fat
172,85,fat
194,61,thin
150,43,normal
195,43,thin
161,60,normal
180,70,normal
200,52,thin
168,69,normal
127,65,fat
164,46,thin
171,50,thin
165,83,fat
175,73,normal
131,54,fat
171,42,thin
150,52,normal
134,86,fat
111,80,fat
174,67,normal
195,50,thin
137,46,normal
176,73,normal
180,50,thin
125,85,fat
163,60,normal
173,85,fat
133,66,fat
174,72,normal
170,79,fat
167,56,normal
190,78,normal
144,78,fat
136,42,normal
178,72,normal
185,48,thin
136,59,fat
178,63,normal
146,54,fat
148,51,normal
189,45,thin
122,84,fat
147,72,fat
110,51,fat
169,71,normal
181,42,thin
174,80,fat
144,66,fat
194,56,thin
121,55,fat
183,90,fat
171,69,normal
113,86,fat
115,78,fat
197,45,thin
179,52,thin
196,43,thin
127,87,fat
157,46,normal
194,52,thin
116,71,fat
171,60,normal
194,66,thin
159,53,normal
192,83,normal
129,53,fat
160,60,normal
114,53,fat
169,69,normal
116,88,fat
177,41,thin
172,87,fat
175,84,fat
144,56,fat
162,90,fat
173,42,thin
154,64,fat
168,40,thin
162,77,fat
159,40,thin
129,78,fat
161,57,normal
130,59,fat
141,73,fat
176,56,thin
144,84,fat
144,78,fat
142,63,fat
123,43,fat
180,59,thin
132,47,fat
200,86,normal
167,79,fat
182,55,thin
124,86,fat
196,52,thin
168,60,normal
180,83,fat
162,74,fat
117,74,fat
188,66,normal
117,65,fat
110,69,fat
181,48,thin
113,66,fat
110,45,fat
115,75,fat
123,58,fat
112,90,fat
131,46,fat
162,83,fat
149,57,fat
165,44,thin
110,54,fat
167,52,normal
136,81,fat
196,41,thin
147,72,fat
142,68,fat
138,48,fat
127,47,fat
168,86,fat
182,42,thin
200,51,thin
143,52,fat
121,90,fat
181,49,thin
189,55,thin
196,85,normal
126,65,fat
152,42,thin
118,59,fat
119,79,fat
176,55,thin
110,84,fat
135,40,normal
193,81,normal
156,70,fat
168,58,normal
195,64,thin
113,56,fat
166,48,thin
113,77,fat
153,64,fat
144,74,fat
166,74,fat
162,71,fat
163,46,thin
137,57,fat
165,89,fat
175,42,thin
133,51,fat
162,63,normal
113,88,fat
144,88,fat
148,51,normal
150,72,fat
185,84,normal
132,76,fat
173,89,fat
175,53,thin
140,48,normal
192,72,normal
143,62,fat
122,77,fat
181,51,thin
164,77,fat
122,82,fat
158,77,fat
174,89,fat
177,77,normal
159,90,fat
144,61,fat
123,69,fat
138,63,fat
170,50,thin
133,67,fat
195,71,normal
161,54,normal
114,64,fat
170,41,thin
196,64,thin
200,49,thin
191,54,thin
152,58,fat
124,44,fat
176,78,fat
134,46,fat
155,51,normal
148,51,normal
136,75,fat
194,72,normal
147,82,fat
195,41,thin
169,58,normal
161,68,fat
144,59,fat
123,69,fat
129,56,fat
164,53,normal
180,53,thin
196,69,thin
185,80,normal
114,43,fat
161,42,thin
150,67,fat
197,58,thin
121,69,fat
175,55,thin
148,48,normal
161,74,fat
167,65,normal
136,71,fat
142,81,fat
184,61,thin
143,66,fat
191,84,normal
157,65,fat
146,87,fat
174,57,normal
171,83,fat
131,48,fat
146,61,fat
135,48,fat
170,65,normal
182,77,normal
130,47,fat
134,69,fat
145,72,fat
118,51,fat
157,75,fat
158,62,normal
178,83,fat
198,49,thin
176,87,fat
183,90,fat
171,59,normal
198,79,normal
176,73,normal
140,67,fat
124,80,fat
116,50,fat
198,62,thin
151,76,fat
118,79,fat
124,83,fat
144,85,fat
190,73,normal
116,68,fat
160,85,fat
200,69,thin
159,88,fat
184,51,thin
167,40,thin
171,40,thin
151,50,normal
136,45,normal
123,60,fat
162,45,thin
181,81,normal
154,59,normal
113,80,fat
190,82,normal
182,44,thin
136,65,fat
172,69,normal
180,60,normal
196,50,thin
157,74,fat
195,49,thin
134,65,fat
113,65,fat
200,85,normal
133,73,fat
179,81,fat
186,58,thin
165,90,fat
115,45,fat
118,42,fat
132,75,fat
131,55,fat
119,47,fat
178,65,normal
182,62,normal
192,79,normal
130,84,fat
185,71,normal
130,52,fat
173,54,thin
142,42,normal
178,47,thin
199,85,normal
140,53,fat
166,57,normal
196,79,normal
159,83,fat
136,71,fat
196,83,normal
195,53,thin
134,69,fat
154,57,normal
135,44,normal
183,53,thin
196,45,thin
195,69,thin
166,81,fat
133,59,fat
161,70,fat
170,90,fat
119,89,fat
110,68,fat
165,46,thin
150,76,fat
199,64,thin
171,59,normal
133,89,fat
185,47,thin
118,43,fat
153,86,fat
138,46,normal
184,47,thin
185,73,normal
170,79,fat
145,45,normal
187,67,normal
174,48,thin
121,83,fat
192,85,normal
151,48,normal
198,47,thin
190,44,thin
131,64,fat
170,62,normal
144,90,fat
126,74,fat
118,82,fat
154,60,fat
155,66,fat
147,42,normal
154,56,normal
137,55,fat
189,58,thin
142,71,fat
194,69,thin
117,72,fat
154,62,fat
115,77,fat
130,62,fat
110,59,fat
194,44,thin
122,63,fat
153,82,fat
123,76,fat
143,75,fat
122,52,fat
182,63,normal
114,50,fat
113,69,fat
143,67,fat
132,70,fat
189,86,normal
141,62,fat
124,56,fat
112,73,fat
134,43,normal
120,89,fat
196,65,thin
186,76,normal
199,70,thin
144,46,normal
120,45,fat
120,59,fat
191,62,thin
112,86,fat
179,85,fat
115,82,fat
111,74,fat
182,57,thin
187,83,normal
165,73,fat
156,67,fat
166,74,fat
175,62,normal
133,78,fat
153,67,fat
175,66,normal
119,88,fat
121,40,fat
185,60,thin
130,43,fat
149,57,fat
151,88,fat
143,72,fat
194,61,thin
132,73,fat
114,82,fat
152,81,fat
128,62,fat
130,60,fat
116,76,fat
195,84,normal
155,60,normal
163,54,normal
122,48,fat
139,55,fat
113,89,fat
194,68,thin
147,55,fat
180,58,thin
181,62,normal
125,84,fat
156,89,fat
168,46,thin
152,45,normal
200,54,thin
153,63,fat
172,46,thin
173,53,thin
161,69,fat
136,56,fat
181,68,normal
183,41,thin
179,73,normal
111,51,fat
154,43,thin
172,45,thin
116,69,fat
147,90,fat
170,74,fat
190,45,thin
136,56,fat
184,44,thin
187,79,normal
125,56,fat
130,64,fat
138,69,fat
111,75,fat
115,68,fat
171,54,thin
165,89,fat
188,84,normal
163,62,normal
163,65,normal
186,86,normal
125,47,fat
191,40,thin
132,41,normal
168,51,thin
119,58,fat
131,63,fat
179,53,thin
141,81,fat
147,74,fat
149,54,normal
146,44,normal
179,64,normal
132,43,normal
200,55,thin
191,52,thin
131,45,fat
161,66,fat
147,47,normal
143,47,normal
152,66,fat
149,55,normal
128,80,fat
197,74,normal
186,81,normal
142,73,fat
170,90,fat
156,64,fat
120,76,fat
149,49,normal
128,48,fat
152,85,fat
155,49,normal
131,77,fat
153,70,fat
146,76,fat
170,65,normal
140,43,normal
116,53,fat
114,50,fat
135,89,fat
166,57,normal
165,55,normal
144,72,fat
110,86,fat
192,49,thin
165,50,thin
135,77,fat
199,84,normal
132,85,fat
200,41,thin
159,45,thin
167,42,thin
142,58,fat
112,41,fat
160,48,normal
177,61,normal
124,76,fat
114,53,fat
167,75,fat
134,59,fat
150,76,fat
133,48,fat
122,64,fat
112,70,fat
139,58,fat
184,51,thin
131,58,fat
139,59,fat
114,69,fat
128,89,fat
160,70,fat
117,84,fat
137,54,fat
137,71,fat
147,51,normal
142,69,fat
172,49,thin
176,57,thin
152,78,fat
132,86,fat
175,57,normal
170,86,fat
126,88,fat
157,72,fat
177,88,fat
146,77,fat
113,60,fat
155,67,fat
190,75,normal
184,44,thin
198,86,normal
122,73,fat
165,90,fat
200,67,thin
165,44,thin
169,46,thin
165,73,fat
179,76,normal
183,48,thin
168,85,fat
114,85,fat
184,79,normal
118,54,fat
155,70,fat
182,76,normal
129,59,fat
183,43,thin
188,56,thin
199,54,thin
194,65,thin
156,69,fat
195,58,thin
144,72,fat
135,71,fat
166,70,fat
119,74,fat
152,74,fat
147,70,fat
182,66,normal
176,85,fat
129,60,fat
170,78,fat
154,63,fat
132,86,fat
195,53,thin
200,59,thin
144,87,fat
173,41,thin
198,75,normal
142,77,fat
129,66,fat
190,59,thin
135,56,fat
195,78,normal
190,67,normal
141,65,fat
135,78,fat
125,65,fat
116,76,fat
189,73,normal
200,81,normal
191,81,normal
146,44,normal
155,85,fat
183,78,normal
132,40,normal
171,60,normal
145,61,fat
168,51,thin
130,41,normal
133,44,normal
175,78,fat
121,81,fat
139,48,normal
117,71,fat
178,60,normal
154,71,fat
133,41,normal
143,48,normal
188,79,normal
149,52,normal
141,67,fat
163,86,fat
161,53,normal
167,68,normal
181,72,normal
170,77,fat
177,80,fat
153,81,fat
152,57,normal
179,54,thin
177,71,normal
135,70,fat
137,84,fat
155,81,fat
171,84,fat
150,64,fat
139,61,fat
112,58,fat
193,72,normal
186,90,fat
116,73,fat
127,48,fat
142,88,fat
116,66,fat
182,80,normal
155,52,normal
156,49,normal
161,84,fat
192,72,normal
115,50,fat
146,68,fat
181,62,normal
134,80,fat
167,83,fat
138,65,fat
145,72,fat
122,49,fat
199,88,normal
125,55,fat
174,76,fat
120,67,fat
199,56,thin
116,58,fat
111,65,fat
169,84,fat
191,85,normal
172,57,normal
192,83,normal
136,72,fat
198,71,thin
183,44,thin
121,84,fat
128,43,fat
192,84,normal
199,62,thin
193,64,thin
198,61,thin
151,55,normal
144,67,fat
159,42,thin
152,66,fat
179,62,normal
139,51,fat
148,44,normal
154,64,fat
126,57,fat
134,89,fat
132,83,fat
123,78,fat
117,83,fat
119,47,fat
112,77,fat
112,88,fat
156,40,thin
160,63,normal
126,51,fat
184,49,thin
173,40,thin
168,90,fat
126,78,fat
194,72,normal
178,55,thin
182,75,normal
180,73,normal
189,82,normal
175,50,thin
199,43,thin
159,76,fat
180,47,thin
158,41,thin
114,63,fat
110,52,fat
165,68,normal
182,72,normal
199,42,thin
159,76,fat
134,68,fat
168,56,normal
160,41,thin
150,64,fat
173,45,thin
193,42,thin
186,70,normal
110,40,fat
140,43,normal
162,66,fat
139,77,fat
172,68,normal
156,69,fat
149,64,fat
179,84,fat
142,67,fat
163,58,normal
175,69,normal
129,68,fat
170,40,thin
155,55,normal
114,71,fat
146,76,fat
134,50,fat
155,85,fat
188,76,normal
138,76,fat
193,75,normal
144,64,fat
169,47,thin
143,86,fat
122,44,fat
153,49,normal
136,81,fat
198,49,thin
157,82,fat
135,52,fat
128,76,fat
165,80,fat
158,81,fat
170,81,fat
150,74,fat
160,69,fat
160,41,thin
143,66,fat
135,68,fat
155,75,fat
174,52,thin
143,76,fat
197,83,normal
111,41,fat
163,60,normal
152,51,normal
176,48,thin
128,44,fat
117,40,fat
197,54,thin
127,83,fat
191,70,normal
141,71,fat
158,71,fat
120,71,fat
165,82,fat
174,40,thin
171,78,fat
187,74,normal
110,49,fat
117,80,fat
148,81,fat
195,87,normal
187,87,normal
193,69,normal
157,88,fat
158,45,thin
186,50,thin
149,82,fat
162,49,normal
144,81,fat
197,72,normal
135,88,fat
182,71,normal
145,51,normal
177,72,normal
174,43,thin
112,58,fat
110,52,fat
124,70,fat
157,70,fat
191,43,thin
138,72,fat
133,59,fat
142,61,fat
184,52,thin
117,56,fat
145,68,fat
165,47,thin
145,43,normal
148,56,fat
184,89,fat
173,59,normal
127,69,fat
143,62,fat
192,63,thin
189,44,thin
172,79,fat
139,90,fat
124,64,fat
139,42,normal
187,83,normal
174,63,normal
119,89,fat
156,55,normal
120,53,fat
113,90,fat
145,68,fat
189,82,normal
135,45,normal
165,62,normal
144,88,fat
177,46,thin
178,75,normal
145,65,fat
119,55,fat
154,51,normal
154,58,normal
142,81,fat
134,76,fat
152,62,fat
158,78,fat
119,90,fat
186,58,thin
193,76,normal
178,63,normal
167,60,normal
175,56,thin
160,83,fat
153,80,fat
190,86,normal
168,44,thin
175,86,fat
116,50,fat
199,53,thin
182,90,fat
161,78,fat
197,47,thin
174,44,thin
166,57,normal
186,47,thin
195,68,thin
110,61,fat
156,41,thin
180,84,fat
111,70,fat
194,63,thin
194,54,thin
129,40,normal
157,71,fat
193,90,normal
113,75,fat
151,82,fat
162,44,thin
163,59,normal
149,45,normal
130,87,fat
177,78,normal
192,45,thin
125,54,fat
163,46,thin
153,53,normal
167,65,normal
148,70,fat
113,88,fat
117,82,fat
180,64,normal
123,59,fat
111,81,fat
159,40,thin
140,43,normal
194,90,normal
140,43,normal
192,85,normal
165,45,thin
134,50,fat
167,51,thin
184,65,normal
156,50,normal
114,61,fat
137,70,fat
113,42,fat
110,52,fat
114,58,fat
149,51,normal
119,80,fat
174,40,thin
182,42,thin
139,52,fat
149,82,fat
133,78,fat
122,72,fat
121,73,fat
133,76,fat
163,69,fat
177,42,thin
130,69,fat
196,70,thin
163,64,normal
160,58,normal
149,49,normal
184,64,normal
151,46,normal
123,42,fat
193,84,normal
118,40,fat
188,87,normal
185,41,thin
169,66,normal
186,45,thin
173,68,normal
158,70,fat
149,84,fat
193,85,normal
190,83,normal
139,45,normal
138,65,fat
179,82,fat
136,77,fat
117,42,fat
149,70,fat
111,72,fat
115,83,fat
184,60,thin
169,87,fat
135,89,fat
169,52,thin
110,47,fat
162,48,thin
130,89,fat
139,65,fat
110,58,fat
111,66,fat
170,88,fat
195,71,normal
137,76,fat
148,70,fat
128,51,fat
120,58,fat
131,86,fat
137,73,fat
116,63,fat
110,53,fat
180,51,thin
148,40,thin
173,74,normal
176,71,normal
126,89,fat
196,82,normal
151,50,normal
113,83,fat
197,67,thin
174,70,normal
145,57,fat
163,88,fat
117,77,fat
137,90,fat
171,59,normal
180,56,thin
136,41,normal
154,54,normal
126,51,fat
111,57,fat
174,87,fat
134,46,fat
189,58,thin
122,51,fat
163,56,normal
190,54,thin
146,44,normal
154,70,fat
144,77,fat
142,60,fat
128,62,fat
145,71,fat
147,76,fat
115,54,fat
173,59,normal
142,89,fat
156,43,thin
129,68,fat
175,65,normal
198,77,normal
136,83,fat
142,84,fat
155,68,fat
173,48,thin
148,48,normal
111,64,fat
171,89,fat
165,46,thin
145,88,fat
142,64,fat
125,53,fat
193,84,normal
146,73,fat
132,63,fat
186,53,thin
120,43,fat
182,77,normal
174,41,thin
159,89,fat
114,77,fat
110,56,fat
115,70,fat
163,85,fat
124,42,fat
198,48,thin
154,74,fat
121,78,fat
158,63,fat
145,81,fat
168,65,normal
144,81,fat
126,61,fat
121,51,fat
186,59,thin
187,84,normal
170,61,normal
140,59,fat
126,63,fat
189,64,thin
134,43,normal
118,61,fat
165,58,normal
194,81,normal
184,75,normal
144,54,fat
121,80,fat
145,90,fat
131,82,fat
179,89,fat
196,81,normal
166,84,fat
161,41,thin
172,60,normal
147,52,normal
189,75,normal
197,53,thin
138,87,fat
170,75,fat
176,45,thin
170,46,thin
160,88,fat
149,63,fat
121,84,fat
155,69,fat
189,81,normal
148,90,fat
171,67,normal
150,88,fat
184,57,thin
170,63,normal
120,53,fat
124,53,fat
136,71,fat
167,75,fat
144,65,fat
138,53,fat
183,77,normal
114,72,fat
167,68,normal
141,74,fat
157,45,thin
171,78,fat
194,71,normal
110,79,fat
148,79,fat
173,54,thin
126,66,fat
139,56,fat
169,85,fat
121,76,fat
117,63,fat
189,69,normal
152,61,fat
149,63,fat
173,57,normal
160,72,fat
110,49,fat
135,61,fat
180,90,fat
136,51,fat
196,52,thin
150,74,fat
121,61,fat
150,48,normal
161,54,normal
153,52,normal
141,55,fat
151,88,fat
113,54,fat
195,80,normal
192,56,thin
143,65,fat
173,43,thin
162,79,fat
157,57,normal
112,53,fat
121,51,fat
172,55,normal
163,68,fat
183,62,normal
179,50,thin
187,47,thin
153,53,normal
182,72,normal
168,81,fat
120,46,fat
184,63,normal
177,61,normal
158,76,fat
163,63,normal
148,46,normal
170,54,normal
194,87,normal
167,51,thin
121,50,fat
177,47,thin
139,55,fat
164,45,thin
152,45,normal
110,57,fat
148,79,fat
120,47,fat
178,44,thin
157,84,fat
168,50,thin
184,86,fat
171,63,normal
181,68,normal
124,70,fat
197,45,thin
187,54,thin
127,54,fat
172,81,fat
191,57,thin
178,82,fat
121,53,fat
190,78,normal
127,81,fat
171,75,fat
178,72,normal
155,54,normal
146,75,fat
188,46,thin
180,52,thin
168,72,fat
170,90,fat
121,75,fat
182,47,thin
183,65,normal
112,48,fat
135,58,fat
196,75,normal
131,42,normal
117,46,fat
180,45,thin
126,49,fat
185,90,fat
186,54,thin
167,86,fat
186,43,thin
183,72,normal
187,40,thin
127,43,fat
147,77,fat
168,41,thin
197,64,thin
139,76,fat
178,46,thin
167,72,fat
165,72,fat
198,54,thin
173,79,fat
164,59,normal
147,57,fat
124,80,fat
169,43,thin
121,45,fat
141,51,fat
125,43,fat
172,42,thin
186,89,fat
127,88,fat
135,87,fat
113,78,fat
114,77,fat
167,57,normal
169,71,normal
149,83,fat
153,61,fat
129,46,fat
154,79,fat
139,82,fat
195,67,thin
126,58,fat
147,46,normal
127,61,fat
111,75,fat
185,68,normal
129,57,fat
163,40,thin
138,50,fat
200,50,thin
151,85,fat
184,78,normal
188,70,normal
178,50,thin
175,74,normal
131,53,fat
183,73,normal
180,81,fat
193,41,thin
127,49,fat
163,79,fat
185,60,thin
163,78,fat
141,44,normal
192,67,thin
143,40,normal
121,86,fat
117,76,fat
139,86,fat
154,69,fat
144,41,normal
142,90,fat
157,57,normal
115,72,fat
143,80,fat
160,53,normal
133,45,fat
178,53,thin
146,89,fat
131,66,fat
175,74,normal
180,57,thin
171,42,thin
189,44,thin
191,42,thin
162,60,normal
138,44,normal
195,41,thin
183,63,normal
113,64,fat
150,44,normal
135,76,fat
156,46,normal
166,43,thin
196,90,normal
148,90,fat
133,63,fat
192,56,thin
128,62,fat
139,65,fat
120,71,fat
138,69,fat
163,49,thin
165,89,fat
133,54,fat
181,63,normal
179,78,normal
156,68,fat
116,83,fat
188,76,normal
174,52,thin
142,74,fat
150,71,fat
141,71,fat
172,56,normal
199,57,thin
113,67,fat
137,61,fat
165,49,thin
177,44,thin
139,62,fat
136,84,fat
150,44,normal
129,71,fat
164,58,normal
190,50,thin
170,89,fat
113,76,fat
154,56,normal
111,54,fat
127,80,fat
157,72,fat
161,81,fat
179,73,normal
189,62,thin
148,85,fat
183,61,thin
135,68,fat
129,44,fat
191,78,normal
143,41,normal
160,73,fat
156,79,fat
169,67,normal
144,69,fat
146,80,fat
162,89,fat
168,79,fat
179,51,thin
132,86,fat
198,84,normal
146,90,fat
119,42,fat
155,58,normal
198,43,thin
155,49,normal
176,80,fat
121,84,fat
143,81,fat
169,70,normal
146,59,fat
186,84,normal
172,41,thin
174,82,fat
182,78,normal
185,80,normal
122,64,fat
177,77,normal
183,44,thin
195,84,normal
180,56,thin
181,66,normal
182,40,thin
190,64,thin
185,80,normal
186,84,normal
123,66,fat
163,40,thin
191,78,normal
111,64,fat
169,63,normal
162,74,fat
164,82,fat
154,73,fat
146,48,normal
188,62,thin
192,76,normal
120,65,fat
183,65,normal
127,40,normal
120,69,fat
128,85,fat
129,60,fat
141,46,normal
126,80,fat
112,62,fat
165,85,fat
192,90,normal
145,84,fat
155,81,fat
148,81,fat
199,52,thin
132,52,fat
136,84,fat
116,66,fat
119,54,fat
170,64,normal
125,45,fat
149,84,fat
164,40,thin
165,73,fat
175,52,thin
147,88,fat
132,40,normal
196,66,thin
169,55,normal
139,64,fat
124,64,fat
148,45,normal
192,50,thin
166,49,thin
135,73,fat
111,86,fat
189,55,thin
114,81,fat
152,57,normal
124,69,fat
159,47,normal
144,85,fat
141,52,fat
152,52,normal
153,44,normal
133,57,fat
156,90,fat
132,78,fat
156,83,fat
186,40,thin
174,85,fat
160,75,fat
112,87,fat
134,54,fat
187,44,thin
128,64,fat
197,53,thin
112,90,fat
179,44,thin
127,76,fat
158,41,thin
125,80,fat
114,55,fat
158,54,normal
110,47,fat
150,51,normal
190,46,thin
136,82,fat
148,79,fat
135,54,fat
128,87,fat
123,60,fat
120,48,fat
127,83,fat
127,85,fat
117,78,fat
155,43,thin
197,82,normal
163,77,fat
127,76,fat
174,57,normal
134,67,fat
151,40,thin
192,49,thin
164,85,fat
171,48,thin
168,44,thin
199,73,thin
152,59,fat
121,42,fat
193,61,thin
173,53,thin
172,46,thin
165,72,fat
124,49,fat
135,71,fat
149,78,fat
142,57,fat
134,88,fat
163,51,normal
157,44,thin
187,45,thin
174,67,normal
116,66,fat
184,60,thin
157,56,normal
136,50,fat
163,62,normal
141,80,fat
162,70,fat
167,59,normal
140,55,fat
168,54,normal
126,60,fat
149,57,fat
147,58,fat
153,55,normal
111,58,fat
153,59,fat
170,90,fat
160,62,normal
114,79,fat
129,56,fat
186,41,thin
131,71,fat
199,88,normal
196,60,thin
112,89,fat
156,49,normal
188,56,thin
119,54,fat
140,60,fat
195,84,normal
153,77,fat
151,41,thin
169,80,fat
157,66,fat
137,60,fat
162,56,normal
124,67,fat
135,48,fat
155,52,normal
168,86,fat
185,63,thin
149,48,normal
142,69,fat
185,67,normal
154,79,fat
184,83,normal
174,86,fat
161,63,normal
127,40,normal
179,65,normal
193,82,normal
183,63,normal
151,89,fat
135,61,fat
118,77,fat
142,81,fat
145,69,fat
184,67,normal
195,75,normal
198,78,normal
127,61,fat
169,69,normal
142,85,fat
133,57,fat
129,75,fat
181,61,normal
160,45,thin
186,76,normal
172,61,normal
127,82,fat
137,40,normal
124,72,fat
169,43,thin
133,86,fat
119,76,fat
149,70,fat
138,45,normal
163,90,fat
144,77,fat
158,72,fat
162,61,normal
137,54,fat
131,70,fat
159,87,fat
122,85,fat
156,63,fat
134,69,fat
169,49,thin
162,62,normal
145,54,fat
128,51,fat
182,44,thin
144,58,fat
111,66,fat
179,49,thin
169,59,normal
138,52,fat
150,74,fat
164,90,fat
155,80,fat
115,87,fat
134,76,fat
184,72,normal
118,51,fat
126,77,fat
168,52,thin
196,62,thin
154,89,fat
141,76,fat
118,87,fat
121,46,fat
118,89,fat
155,59,normal
110,88,fat
156,75,fat
177,83,fat
175,49,thin
163,76,fat
145,72,fat
196,59,thin
140,66,fat
172,54,thin
141,48,normal
195,60,thin
119,44,fat
133,84,fat
168,63,normal
193,55,thin
143,46,normal
162,66,fat
133,83,fat
117,71,fat
120,85,fat
187,50,thin
194,76,normal
194,80,normal
182,47,thin
171,79,fat
133,42,normal
154,59,normal
177,82,fat
136,55,fat
154,53,normal
185,59,thin
179,41,thin
116,85,fat
132,42,normal
190,71,normal
181,65,normal
190,72,normal
140,67,fat
139,71,fat
144,84,fat
178,43,thin
111,59,fat
196,66,thin
187,80,normal
135,67,fat
194,42,thin
165,64,normal
171,54,thin
152,69,fat
143,64,fat
200,83,normal
167,71,fat
134,80,fat
151,60,fat
118,80,fat
177,54,thin
146,79,fat
179,48,thin
175,60,normal
157,90,fat
138,79,fat
185,74,normal
134,78,fat
